viz_name,pharmacies,neighborhood,average_min_distance,median_min_distance,max_min_distance,x2010_pop,x2010_pop_hisp,x2010_pop_white_non_hisp,x2010_pop_black_non_hisp,x2010_pop_aian_non_hisp,x2010_pop_asian_non_hisp,x2010_pop_nhpi_non_hisp,x2010_pop_other_non_hisp,x2010_pop_two_plus_non_hisp,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,x2020_pop_aian_non_hisp,x2020_pop_asian_non_hisp,x2020_pop_nhpi_non_hisp,x2020_pop_other_non_hisp,x2020_pop_two_plus_non_hisp,county,change_pop,change_pop_hisp,change_pop_white_non_hisp,change_pop_black_non_hisp,change_pop_aian_non_hisp,change_pop_asian_non_hisp,change_pop_nhpi_non_hisp,change_pop_other_non_hisp,change_pop_two_plus_non_hisp,pct_change_x2020_pop,pct_change_x2020_pop_hisp,pct_change_x2020_pop_white_non_hisp,pct_change_x2020_pop_black_non_hisp,pct_change_x2020_pop_aian_non_hisp,pct_change_x2020_pop_asian_non_hisp,pct_change_x2020_pop_nhpi_non_hisp,pct_change_x2020_pop_other_non_hisp,pct_change_x2020_pop_two_plus_non_hisp,x2010_pop_white_non_hisp_share,x2010_pop_black_non_hisp_share,x2010_pop_hisp_share,x2020_pop_white_non_hisp_share,x2020_pop_black_non_hisp_share,x2020_pop_hisp_share,x2020_majority_neighborhood_type,x2010_majority_neighborhood_type,majority_changed,color_pct_change_x2020_pop,color_pct_change_x2020_pop_hisp,color_pct_change_x2020_pop_white_non_hisp,color_pct_change_x2020_pop_black_non_hisp,color_pct_change_x2020_pop_aian_non_hisp,color_pct_change_x2020_pop_asian_non_hisp,color_pct_change_x2020_pop_nhpi_non_hisp,color_pct_change_x2020_pop_other_non_hisp,color_pct_change_x2020_pop_two_plus_non_hisp,viz_x2020_pop_white_non_hisp,viz_x2020_pop_black_non_hisp,viz_x2020_pop_hisp,viz_x2020_pop
Holabird Industrial Park,0,holabird industrial park,0.3928087619973571,0.42444505950088285,0.6304954094203588,698,146,395,114,10,14,1,1,16,739,325,256,116,4,9,0,5,25,baltimore city,41,179,-139,2,-6,-5,-1,3,9,5.9,122.4,-35.3,2,-57.4,-36.4,-100,210,53.2,57,16,21,35,16,44,majority minority,majortiy white,yes,green,green,red,green,red,red,red,green,green,256,116,325,739
Hollins Market,0,hollins market,0.10237043969267934,0.1252649333733365,0.19505641157951847,1818,52,547,1127,6,43,1,6,36,1692,137,418,979,3,71,0,18,67,baltimore city,-126,85,-129,-148,-3,28,-1,12,30,-6.9,161.6,-23.5,-13.2,-50,64.2,-100,216.6,84.3,30,62,3,25,58,8,majority black,majority black,no,red,green,red,red,red,green,red,green,green,418,979,137,1692
Homeland,0,homeland,0.3396533860045649,0.3428541412926838,0.7350936132925334,2711,69,2196,290,6,92,0,7,51,2719,122,2046,314,3,99,0,16,120,baltimore city,9,53,-150,23,-3,8,0,9,68,0.3,77.7,-6.8,8,-50.1,8.3,47.5,133.9,133,81,11,3,75,12,4,majority white,majortiy white,yes,green,green,red,green,red,green,green,green,green,2046,314,122,2719
Hopkins Bayview,0,hopkins bayview,0.04542354073836037,0.030727604949799564,0.10554301726528155,1627,407,1003,113,5,57,1,6,35,1978,1023,655,182,5,52,0,12,48,baltimore city,350,616,-348,70,-1,-5,-1,6,14,21.5,151.2,-34.7,61.9,-12.5,-8.7,-100,94.7,39.4,62,7,25,33,9,52,majority hispanic,majortiy white,yes,green,green,red,green,red,red,red,green,green,655,182,1023,1978
Howard Park,0,howard park,0.29571282213408867,0.2774871991785375,0.7444868508743893,5240,83,143,4913,10,20,0,3,68,4408,145,119,3918,12,24,3,67,119,baltimore city,-832,62,-24,-996,2,5,3,64,52,-15.9,74.2,-17.1,-20.3,23.5,22.9,Inf,2314.8,76.4,3,94,2,3,89,3,majority black,majority black,no,red,green,red,red,green,green,green,green,green,119,3918,145,4408
Hunting Ridge,0,hunting ridge,0.18400222176478967,0.19810979660270286,0.35501717218923323,1478,17,202,1227,1,9,0,2,19,1410,39,175,1126,2,11,0,7,51,baltimore city,-68,21,-28,-101,1,2,-0,5,32,-4.6,121.8,-13.7,-8.2,59.7,24.3,-98.5,242.7,171.4,14,83,1,12,80,3,majority black,majority black,no,red,green,red,red,green,green,red,green,green,175,1126,39,1410
Idlewood,0,idlewood,0.3079748091092751,0.22037050590881968,0.5177332275904386,2673,57,318,2225,5,32,1,1,36,2519,98,237,2081,5,18,1,9,71,baltimore city,-155,41,-81,-144,0,-14,1,7,34,-5.8,73.2,-25.5,-6.5,0.2,-43.6,97,550.8,94.1,12,83,2,9,83,4,majority black,majority black,no,red,green,red,red,green,red,green,green,green,237,2081,98,2519
Inner Harbor,0,inner harbor,0.1648900554420047,0.18336235557932615,0.3124174246496549,2523,116,1671,481,7,194,2,5,49,3327,194,1982,628,6,345,0,18,154,baltimore city,804,78,311,148,-0,152,-1,13,105,31.9,67.6,18.6,30.7,-5.1,78.3,-94.8,267.1,215.6,66,19,5,60,19,6,majority white,majortiy white,yes,green,green,green,green,red,green,red,green,green,1982,628,194,3327
Irvington,0,irvington,0.17918514913131278,0.14194785474963673,0.5509382938752525,5104,90,1172,3676,24,42,2,8,89,4901,180,851,3562,11,80,0,15,202,baltimore city,-202,90,-321,-114,-12,38,-2,7,113,-4,99.9,-27.4,-3.1,-51.8,90.2,-86.8,81.2,125.9,23,72,2,17,73,4,majority black,majority black,no,red,green,red,red,red,green,red,green,green,851,3562,180,4901
Johns Hopkins Homewood,0,johns hopkins homewood,0.09883226221936775,0.09883226221936775,0.12501950546627466,4156,229,2321,321,6,1121,2,9,146,4284,460,1719,383,6,1422,1,35,257,baltimore city,128,232,-602,62,-0,301,-1,26,110,3.1,101.2,-25.9,19.3,-1.4,26.8,-33.9,302.7,75.2,56,8,6,40,9,11,majority minority,majortiy white,yes,green,green,red,green,red,green,red,green,green,1719,383,460,4284
Johnston Square,0,johnston square,0.13876434887705894,0.13652045018500703,0.29539932080386977,2015,21,66,1894,5,6,0,1,21,1876,44,83,1675,5,14,0,5,50,baltimore city,-139,23,17,-219,-0,7,-0,4,29,-6.9,110.7,25.7,-11.6,-3,121,-6.1,304.7,142.6,3,94,1,4,89,2,majority black,majority black,no,red,green,green,red,red,green,red,green,green,83,1675,44,1876
Jones Falls Area,0,jones falls area,0.17558937767125696,0.12501950546627466,0.4231343602251524,1938,72,1344,346,6,114,0,5,51,2069,142,1383,229,4,208,0,11,92,baltimore city,131,70,39,-117,-2,95,0,6,41,6.8,96.9,2.9,-33.9,-32.1,83.2,Inf,126,79.8,69,18,4,67,11,7,majority white,majortiy white,yes,green,green,green,red,red,green,green,green,green,1383,229,142,2069
Jonestown,0,jonestown,0.10258357803993422,0.09416049158819269,0.23042407039444804,1505,77,551,759,4,87,0,2,25,1545,81,620,612,6,152,0,6,67,baltimore city,40,4,69,-146,2,65,-0,4,42,2.7,4.9,12.5,-19.3,68.3,74.8,-98.7,201.2,172.4,37,50,5,40,40,5,majority minority,majority black,yes,green,green,green,red,green,green,red,green,green,620,612,81,1545
Kenilworth Park,0,kenilworth park,0.41997865868312423,0.41933825063101005,0.5249259719824854,1627,19,44,1529,8,3,0,2,22,1535,44,50,1385,5,0,0,10,41,baltimore city,-92,25,6,-145,-4,-3,-0,8,19,-5.7,134.1,14.3,-9.5,-42.8,-86.5,-100,400,89.3,3,94,1,3,90,3,majority black,majority black,no,red,green,green,red,red,red,red,green,green,50,1385,44,1535
Kernewood,0,kernewood,0.3450864777530774,0.36284868626408917,0.45407513205067673,486,17,322,116,0,20,0,0,10,525,41,230,116,0,108,0,2,27,baltimore city,39,24,-92,0,-0,88,0,2,17,8,137,-28.4,0.1,-69.1,442.8,Inf,571.3,170.8,66,24,4,44,22,8,majority minority,majortiy white,yes,green,green,red,green,red,green,green,green,green,230,116,41,525
Keswick,0,keswick,0.4672555481712471,0.4710997510554718,0.5489494693987823,439,14,336,32,0,47,0,1,9,451,20,319,33,0,56,0,3,20,baltimore city,13,6,-17,1,-0,9,-0,3,11,2.9,43.3,-5,3,-99.8,19.6,-50,314.3,118.2,77,7,3,71,7,4,majority white,majortiy white,yes,green,green,red,green,red,green,red,green,green,319,33,20,451
Kresson,0,kresson,0.3016234587365598,0.3266795034888461,0.4705882410957708,389,143,128,93,4,13,0,1,8,472,264,107,60,2,26,0,2,12,baltimore city,83,121,-21,-33,-3,13,-0,1,5,21.2,84.5,-16.5,-35.5,-63.1,103,-86,219.2,63.7,33,24,37,23,13,56,majority hispanic,majority minority,yes,green,green,red,red,red,green,red,green,green,107,60,264,472
Lake Evesham,0,lake evesham,0.201336845390085,0.21992121743681792,0.28057425755464577,314,8,254,34,1,11,0,1,6,315,14,237,36,0,11,0,2,14,baltimore city,1,6,-17,3,-0,1,-0,1,8,0.2,74.3,-6.9,8.2,-49.5,7.1,-33.3,130.9,131.8,81,11,3,75,12,5,majority white,majortiy white,yes,green,green,red,green,red,green,red,green,green,237,36,14,315
Lake Walker,0,lake walker,0.21608085822159392,0.18932175823432887,0.5092222607544606,2030,150,909,837,4,73,2,11,44,1921,131,808,819,4,72,1,15,71,baltimore city,-109,-19,-101,-18,0,-1,-1,4,27,-5.4,-12.7,-11.1,-2.2,0,-1.1,-33,40.5,60.9,45,41,7,42,43,7,majority minority,majority minority,no,red,red,red,red,red,red,red,green,green,808,819,131,1921
Lakeland,0,lakeland,0.361116696346278,0.41265681448685676,0.641877047115519,2793,522,609,1524,6,78,1,3,50,2956,1240,363,1166,4,76,0,14,93,baltimore city,163,718,-246,-358,-2,-2,-1,11,43,5.8,137.3,-40.4,-23.5,-33.4,-2.6,-100,372.2,85.6,22,55,19,12,39,42,majority minority,majority black,yes,green,green,red,red,red,red,red,green,green,363,1166,1240,2956
Langston Hughes,0,langston hughes,0.15292429463863103,0.1753571838306523,0.24836577414688685,882,12,10,846,1,0,0,1,11,648,13,8,607,1,3,0,2,14,baltimore city,-234,1,-2,-239,1,3,-0,1,3,-26.5,5.6,-21.1,-28.3,66.5,858.4,-100,133.8,23.8,1,96,1,1,94,2,majority black,majority black,no,red,green,red,red,green,green,red,green,green,8,607,13,648
Lauraville,0,lauraville,0.3310248987349434,0.3614911535886516,0.582948961056802,3844,100,1466,2127,14,41,1,8,87,3497,141,1138,1959,8,50,4,37,160,baltimore city,-348,41,-328,-168,-6,9,3,29,73,-9,40.4,-22.4,-7.9,-43.3,21.9,332.5,360.6,84.6,38,55,3,33,56,4,majority black,majority black,no,red,green,red,red,red,green,green,green,green,1138,1959,141,3497
Levindale,0,levindale,0.058441493292916646,0.04801879972872355,0.13420384814227884,1246,15,57,1153,2,3,0,3,13,998,32,47,883,3,4,0,4,25,baltimore city,-248,16,-10,-270,1,1,0,2,12,-19.9,104.3,-17.9,-23.4,27.2,26.7,NA,66.7,94.9,5,92,1,5,88,3,majority black,majority black,no,red,green,red,red,green,green,NA,green,green,47,883,32,998
Liberty Square,0,liberty square,0.2090398385717594,0.1879827664094612,0.3673327905522729,480,2,4,461,1,1,0,3,8,456,10,9,419,0,3,1,1,13,baltimore city,-24,8,5,-42,-1,2,1,-2,5,-5,415.6,114.2,-9,-99.9,349.7,Inf,-70,57.6,1,96,0,2,92,2,majority black,majority black,no,red,green,green,red,red,green,green,red,green,9,419,10,456
Little Italy,0,little italy,0.11492766019720382,0.12416804301282543,0.2342597116135162,640,41,276,269,2,40,0,0,11,732,49,322,244,4,78,0,3,32,baltimore city,91,8,46,-25,1,38,0,3,20,14.3,18.5,16.6,-9.3,45.4,97,6651.4,595.8,179.6,43,42,6,44,33,7,majority minority,majority minority,no,green,green,green,red,green,green,green,green,green,322,244,49,732
Loch Raven,0,loch raven,0.18908019992311834,0.20293463336611745,0.484654344679097,4227,75,330,3682,3,81,0,5,51,3841,68,187,3372,1,82,4,26,100,baltimore city,-386,-7,-142,-310,-1,1,4,20,49,-9.1,-9,-43.1,-8.4,-50,1.1,288929.1,374,96,8,87,2,5,88,2,majority black,majority black,no,red,red,red,red,red,green,green,green,green,187,3372,68,3841
Locust Point,0,locust point,0.3526454062708389,0.3899372153150023,0.502205191628881,492,9,454,8,1,13,0,0,6,706,34,580,26,1,32,1,5,27,baltimore city,213,25,126,18,-0,18,0,4,22,43.3,261.5,27.7,222.2,-28.6,140.3,200,1200,380.6,92,2,2,82,4,5,majority white,majortiy white,yes,green,green,green,green,red,green,green,green,green,580,26,34,706
Locust Point Industrial Area,0,locust point industrial area,0.2364767500527692,0.1831064367737859,0.7617059798356967,3502,81,3192,72,8,102,1,2,45,4606,232,3793,169,5,191,2,24,190,baltimore city,1104,151,602,97,-2,88,2,22,145,31.5,186.9,18.9,134,-32.1,86.7,198.6,951.4,320.8,91,2,2,82,4,5,majority white,majortiy white,yes,green,green,green,green,red,green,green,green,green,3793,169,232,4606
Lower Edmondson Village,0,lower edmondson village,0.4580740790764766,0.48346907252259236,0.4851020866590861,222,1,1,217,0,0,0,0,2,188,2,3,179,1,0,0,0,3,baltimore city,-34,1,1,-38,0,0,0,0,1,-15.3,53.4,71.1,-17.5,10.4,36.5,Inf,16325.8,89.7,1,98,1,1,95,1,majority black,majority black,no,red,green,green,red,green,green,green,green,green,3,179,2,188
Lower Herring Run Park,0,lower herring run park,0.2761407950850816,0.4152578832805502,0.43368306151496616,1447,17,112,1262,3,33,0,1,19,1317,28,58,1180,3,10,0,5,32,baltimore city,-130,12,-54,-82,-1,-23,0,4,13,-9,70.5,-48.1,-6.5,-17.2,-69.1,157.8,268.9,71.2,8,87,1,4,90,2,majority black,majority black,no,red,green,red,red,red,red,green,green,green,58,1180,28,1317
Loyola/Notre Dame,0,loyola/notre dame,0.3060543451709864,0.23023345451665356,0.6463365333522699,1947,70,1300,450,2,85,0,1,39,2147,169,961,459,1,440,1,8,109,baltimore city,200,100,-340,9,-1,354,1,7,70,10.3,143.7,-26.1,2,-67.3,414.5,Inf,618.4,178.4,67,23,4,45,21,8,majority minority,majortiy white,yes,green,green,red,green,red,green,green,green,green,961,459,169,2147
Lucille Park,0,lucille park,0.24224281675507886,0.26412873149386584,0.37012038599089003,1108,13,15,1063,3,3,0,1,11,902,39,29,798,2,2,0,5,27,baltimore city,-206,26,14,-264,-0,-0,-0,4,16,-18.6,194.4,91.8,-24.9,-11,-10.6,-21.5,640.3,141.9,1,96,1,3,88,4,majority black,majority black,no,red,green,green,red,red,red,red,green,green,29,798,39,902
Madison Park,0,madison park,0.16247980893438824,0.16902914400756186,0.28586806783567015,2686,34,133,2457,7,14,1,2,37,2358,43,132,2059,6,16,4,11,87,baltimore city,-328,9,-2,-398,-1,2,3,9,50,-12.2,27,-1.4,-16.2,-11.2,13,216.4,389.3,134.5,5,91,1,6,87,2,majority black,majority black,no,red,green,red,red,red,green,green,green,green,132,2059,43,2358
Madison-Eastend,0,madison-eastend,0.29808778264890484,0.3029869464386802,0.513413146740288,2915,124,100,2615,14,23,0,5,35,2247,340,95,1693,7,21,0,5,86,baltimore city,-668,217,-5,-922,-7,-2,-0,-0,51,-22.9,175.7,-4.9,-35.2,-50,-7.8,-100,-5.9,145.7,3,90,4,4,75,15,majority black,majority black,no,red,green,red,red,red,red,red,red,green,95,1693,340,2247
Mayfield,0,mayfield,0.48750059789395456,0.457080959942412,0.6962352171036567,574,10,124,422,2,6,0,0,10,492,12,100,355,0,6,0,1,17,baltimore city,-82,2,-24,-67,-1,0,0,1,8,-14.2,20.7,-19.4,-15.9,-76,3.3,Inf,219.5,83.3,22,74,2,20,72,3,majority black,majority black,no,red,green,red,red,red,green,green,green,green,100,355,12,492
Mcelderry Park,0,mcelderry park,0.18462203761995663,0.1801856672514195,0.36615555736370514,3773,446,587,2591,25,56,1,3,65,3348,639,654,1834,12,66,0,11,132,baltimore city,-425,194,67,-757,-13,10,-1,8,68,-11.3,43.4,11.4,-29.2,-50.9,18,-86.4,272.5,104.3,16,69,12,20,55,19,majority black,majority black,no,red,green,green,red,red,green,red,green,green,654,1834,639,3348
Medfield,0,medfield,0.18072321489911888,0.19834063444197397,0.2786477430133058,2670,110,1962,325,5,209,0,10,50,2711,151,1712,362,7,352,1,18,108,baltimore city,42,41,-250,37,2,144,1,9,58,1.6,37.2,-12.7,11.3,39.8,68.8,124897.3,90.2,117.6,73,12,4,63,13,6,majority white,majortiy white,yes,green,green,red,green,green,green,green,green,green,1712,362,151,2711
Medford,0,medford,0.22044291586935344,0.2459761046397652,0.40237894584669776,259,51,121,73,3,4,0,1,6,282,112,77,77,1,4,0,2,9,baltimore city,23,61,-44,4,-1,-1,-0,1,3,8.9,121.2,-36.7,5.2,-48.8,-17.7,-57.8,150.4,60.4,47,28,20,27,27,40,majority minority,majority minority,no,green,green,red,green,red,red,red,green,green,77,77,112,282
Mid-Govans,0,mid-govans,0.2093984246808019,0.21643062978349692,0.3743368122769033,1324,21,142,1125,5,9,1,2,21,1221,22,130,1002,1,13,0,3,48,baltimore city,-103,1,-12,-122,-4,5,-0,2,27,-7.8,5.4,-8.2,-10.9,-84,56.1,-50,117.8,133.6,11,85,2,11,82,2,majority black,majority black,no,red,green,red,red,red,green,red,green,green,130,1002,22,1221
Mid-Town Belvedere,0,mid-town belvedere,0.06165484444885879,0.04805516387581556,0.18672087746667262,4394,206,2480,1150,13,393,1,12,139,5217,371,2585,1363,9,612,1,25,251,baltimore city,823,165,105,213,-5,219,-0,13,112,18.7,80.3,4.2,18.5,-34.9,55.6,-10.3,108.6,81,56,26,5,50,26,7,majority minority,majortiy white,yes,green,green,green,green,red,green,red,green,green,2585,1363,371,5217
Middle Branch/Reedbird Parks,0,middle branch/reedbird parks,0.12796301644141458,0.09640183545901927,0.4011495038769812,1750,41,58,1608,4,8,0,2,29,1488,96,64,1260,3,17,0,5,43,baltimore city,-261,56,6,-348,-1,9,-0,3,14,-14.9,136.9,10.3,-21.7,-26.5,109.7,-21.7,161.9,48.1,3,92,2,4,85,6,majority black,majority black,no,red,green,green,red,red,green,red,green,green,64,1260,96,1488
Middle East,0,middle east,0.11210466568558868,0.09391888674495086,0.2942976150520776,2166,31,43,2057,1,14,0,0,19,2447,71,201,1916,5,185,0,1,67,baltimore city,281,40,158,-141,4,171,-0,1,48,13,130.3,365.5,-6.9,274,1213.7,-100,231.6,253.6,2,95,1,8,78,3,majority black,majority black,no,green,green,green,red,green,green,red,green,green,201,1916,71,2447
Midtown-Edmondson,0,midtown-edmondson,0.3522193435377946,0.38508528315845725,0.5923345045434839,2091,12,18,2025,3,6,0,3,24,1497,32,19,1391,4,8,2,7,36,baltimore city,-595,19,1,-634,1,2,2,3,11,-28.4,153.7,5.1,-31.3,37.2,40.6,4817.9,99.8,46.3,1,97,1,1,93,2,majority black,majority black,no,red,green,green,red,green,green,green,green,green,19,1391,32,1497
Millhill,0,millhill,0.37205505016160956,0.4127511423285758,0.5519302235742463,2117,92,728,1204,4,29,1,1,58,1546,121,326,991,7,24,0,5,72,baltimore city,-571,29,-402,-213,3,-5,-1,4,15,-27,31,-55.2,-17.7,67.2,-17.7,-100,261.6,25.1,34,57,4,21,64,8,majority black,majority black,no,red,green,red,red,green,red,red,green,green,326,991,121,1546
Milton-Montford,0,milton-montford,0.0965325508443105,0.09366877563929762,0.17960417812307758,1456,52,35,1328,7,13,0,1,21,1146,117,54,918,4,10,0,3,39,baltimore city,-309,66,19,-409,-3,-3,0,2,19,-21.3,127.3,55.1,-30.8,-42.1,-23.6,NA,234.8,90.6,2,91,4,5,80,10,majority black,majority black,no,red,green,green,red,red,red,NA,green,green,54,918,117,1146
Mondawmin,0,mondawmin,0.20989110282253765,0.19878210463134918,0.45217215715255826,3828,49,42,3647,13,12,2,6,57,3367,78,236,2690,2,253,1,17,90,baltimore city,-461,30,194,-958,-11,241,-1,11,33,-12.1,60.6,458.3,-26.3,-84.6,1933.1,-61.9,187.1,58.1,1,95,1,7,80,2,majority black,majority black,no,red,green,green,red,red,green,red,green,green,236,2690,78,3367
Montebello,0,montebello,0.46390866391286945,0.46390866391286945,0.6732993488891382,1808,33,352,1355,5,17,0,3,42,1543,49,293,1126,2,16,1,4,52,baltimore city,-266,16,-60,-229,-3,-1,1,1,10,-14.7,48.3,-16.9,-16.9,-60.5,-7.8,773492.7,27.5,24,19,75,2,19,73,3,majority black,majority black,no,red,green,red,red,red,red,green,green,green,293,1126,49,1543
Moravia-Walther,0,moravia-walther,0.32627163382782043,0.32655408528420427,0.4431213544513421,1209,23,369,772,3,10,0,3,27,1124,44,264,747,4,16,0,9,40,baltimore city,-85,21,-105,-25,1,6,-0,6,12,-7,90.3,-28.6,-3.2,18.5,54.8,-99.6,168.8,44.9,31,64,2,23,66,4,majority black,majority black,no,red,green,red,red,green,green,red,green,green,264,747,44,1124
Morgan Park,0,morgan park,0.5065771156521446,0.5397628157874549,0.6031170356436437,524,12,169,323,1,6,0,1,12,486,19,130,303,1,8,0,6,19,baltimore city,-38,7,-39,-20,-1,2,0,5,8,-7.3,57.6,-23.2,-6.3,-34.1,34.2,205.4,558.7,67.5,32,62,2,27,62,4,majority black,majority black,no,red,green,red,red,red,green,green,green,green,130,303,19,486
Morgan State University,0,morgan state university,0.34889243138754455,0.23682456457203788,0.8393089156484016,2866,55,198,2544,5,18,1,5,41,2449,60,314,1728,2,252,1,12,82,baltimore city,-417,5,116,-816,-3,234,-0,7,41,-14.5,8.6,58.7,-32.1,-62.6,1322.9,-40.5,128.6,101.4,7,89,2,13,71,2,majority black,majority black,no,red,green,green,red,red,green,red,green,green,314,1728,60,2449
Morrell Park,0,morrell park,0.2665111363664412,0.28221618424703543,0.5965638849269435,3064,153,2264,442,21,91,2,8,84,2968,440,1481,771,8,101,0,22,145,baltimore city,-96,287,-783,329,-12,10,-2,14,62,-3.1,186.8,-34.6,74.5,-59.1,11.4,-99.7,178.1,73.5,74,14,5,50,26,15,majority minority,majortiy white,yes,red,green,red,green,red,green,red,green,green,1481,771,440,2968
Mosher,0,mosher,0.09017278368617346,0.06699428301736934,0.19070522536946932,1882,28,12,1817,4,6,0,0,14,1372,24,15,1291,5,1,0,8,28,baltimore city,-510,-4,3,-526,1,-5,0,8,14,-27.1,-15.3,21.8,-28.9,24.9,-90.9,NA,301654.7,96.2,1,97,1,1,94,2,majority black,majority black,no,red,red,green,red,green,red,NA,green,green,15,1291,24,1372
Mount Holly,0,mount holly,0.1285106251237406,0.08921814994377406,0.3371003960523218,1093,16,16,1041,2,1,0,1,15,1059,27,35,955,2,4,0,11,25,baltimore city,-34,11,19,-86,0,3,0,9,10,-3.1,66,120.4,-8.3,0.8,244.2,129.5,628.4,69.2,1,95,1,3,90,3,majority black,majority black,no,red,green,green,red,green,green,green,green,green,35,955,27,1059
Mount Vernon,0,mount vernon,0.1281334497261532,0.1194878216560787,0.24473051311989402,4830,208,2428,1648,14,385,1,13,132,5246,358,2468,1566,9,569,1,24,251,baltimore city,417,150,40,-82,-5,184,0,11,118,8.6,72.5,1.6,-5,-35.8,47.8,6.2,86.4,89.5,50,34,4,47,30,7,majority minority,majortiy white,yes,green,green,green,red,red,green,green,green,green,2468,1566,358,5246
Mount Washington,0,mount washington,0.36660272661925974,0.3970478842787294,0.6892593202861966,4581,110,2817,1400,7,135,2,11,99,4821,175,2891,1346,5,143,0,54,208,baltimore city,240,65,74,-54,-3,8,-2,43,110,5.2,58.8,2.6,-3.9,-37.2,6.1,-86.7,381,111.2,61,31,2,60,28,4,majority white,majortiy white,yes,green,green,green,red,red,green,red,green,green,2891,1346,175,4821
Mount Winans,0,mount winans,0.4630293585710926,0.48468050636893956,0.641877047115519,255,4,21,222,1,1,0,1,5,215,10,16,177,1,1,0,2,9,baltimore city,-40,6,-6,-45,-0,0,0,1,4,-15.7,173.2,-27.4,-20.4,-18.3,8.9,NA,259.9,78.2,8,87,1,7,82,5,majority black,majority black,no,red,green,red,red,red,green,NA,green,green,16,177,10,215
Mt Pleasant Park,0,mt pleasant park,0.09742522976439238,0.09742522976439238,0.16904470216019704,1876,33,148,1632,1,36,0,2,23,1707,31,85,1496,1,36,2,11,45,baltimore city,-170,-3,-63,-136,-1,0,2,9,22,-9,-8.5,-42.7,-8.3,-49,0.8,182089.8,373.6,95.8,8,87,2,5,88,2,majority black,majority black,no,red,red,red,red,red,green,green,green,green,85,1496,31,1707
New Northwood,0,new northwood,0.6152915196077446,0.6424295463670107,0.8229167582499838,4686,67,131,4392,7,24,0,6,60,4389,60,199,3866,4,104,0,29,126,baltimore city,-297,-7,69,-527,-3,80,-0,23,67,-6.3,-9.8,52.5,-12,-37.6,342.1,-99.7,378.4,112.2,3,94,1,5,88,1,majority black,majority black,no,red,red,green,red,red,green,red,green,green,199,3866,60,4389
New Southwest/Mount Clare,0,new southwest/mount clare,0.31489981653685156,0.31208463472438036,0.4292810214665847,1985,149,581,1130,19,42,0,2,62,1621,215,387,907,6,25,1,6,74,baltimore city,-364,66,-193,-223,-13,-17,1,4,12,-18.3,44.4,-33.3,-19.7,-66.9,-41.3,309.9,204.2,18.7,29,57,7,24,56,13,majority black,majority black,no,red,green,red,red,red,red,green,green,green,387,907,215,1621
North Harford Road,0,north harford road,0.2444131635799443,0.2507096679652407,0.5173164840989491,3718,179,2227,1208,10,37,1,6,51,3549,224,1561,1507,7,64,2,25,159,baltimore city,-170,45,-666,299,-3,26,1,19,108,-4.6,25.4,-29.9,24.8,-28.1,70.8,127.2,314.9,210.9,60,32,5,44,42,6,majority minority,majortiy white,yes,red,green,red,green,red,green,green,green,green,1561,1507,224,3549
North Roland Park/Poplar Hill,0,north roland park/poplar hill,0.44939087653152193,0.4342089969273366,0.8513743454604235,1555,34,1211,112,1,170,0,1,28,1485,57,1146,155,1,52,0,12,61,baltimore city,-71,23,-64,43,-0,-117,-0,11,34,-4.5,69.9,-5.3,38.7,-3.4,-69.1,-100,918.5,120.1,78,7,2,77,10,4,majority white,majortiy white,yes,red,green,red,green,red,red,red,green,green,1146,155,57,1485
Northwest Community Action,0,northwest community action,0.4216409031161849,0.45278528107677396,0.5671312380592128,1375,13,10,1323,2,1,0,1,23,1103,14,18,1032,2,1,0,3,33,baltimore city,-272,1,8,-292,-0,0,-0,2,10,-19.8,8.7,76.6,-22,-19.6,0.1,-100,198.6,42.4,1,96,1,2,94,1,majority black,majority black,no,red,green,green,red,red,green,red,green,green,18,1032,14,1103
O'donnell Heights,0,o'donnell heights,0.2801186047022659,0.3225490053466916,0.41683683700976265,1183,197,294,649,3,11,0,5,23,1366,429,165,696,5,19,2,9,42,baltimore city,183,232,-129,47,2,8,2,4,19,15.5,117.6,-43.9,7.2,49.4,71.2,88213.8,83.4,79.3,25,55,17,12,51,31,majority black,majority black,no,green,green,red,green,green,green,green,green,green,165,696,429,1366
Oakenshawe,0,oakenshawe,0.10880008033101546,0.12042083885718516,0.19085156532870745,946,37,639,158,2,79,0,4,27,907,56,567,128,1,95,0,3,56,baltimore city,-40,19,-72,-30,-1,16,-0,-1,29,-4.2,50.9,-11.2,-18.9,-49.5,20.2,-99,-20.2,110,67,17,4,63,14,6,majority white,majortiy white,yes,red,green,red,red,red,green,red,red,green,567,128,56,907
Oaklee,0,oaklee,0.48914621116709195,0.5361913106668754,0.5503698673555123,159,5,112,35,1,3,0,0,3,148,10,77,47,0,4,0,1,9,baltimore city,-11,4,-35,12,-0,2,-0,0,5,-6.9,81.6,-30.9,35.2,-23.1,58.6,-50,200,152.3,70,22,3,52,32,7,majority white,majortiy white,yes,red,green,red,green,red,green,red,green,green,77,47,10,148
