viz_name,pharmacies,neighborhood,average_min_distance,median_min_distance,max_min_distance,x2010_pop,x2010_pop_hisp,x2010_pop_white_non_hisp,x2010_pop_black_non_hisp,x2010_pop_aian_non_hisp,x2010_pop_asian_non_hisp,x2010_pop_nhpi_non_hisp,x2010_pop_other_non_hisp,x2010_pop_two_plus_non_hisp,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,x2020_pop_aian_non_hisp,x2020_pop_asian_non_hisp,x2020_pop_nhpi_non_hisp,x2020_pop_other_non_hisp,x2020_pop_two_plus_non_hisp,county,change_pop,change_pop_hisp,change_pop_white_non_hisp,change_pop_black_non_hisp,change_pop_aian_non_hisp,change_pop_asian_non_hisp,change_pop_nhpi_non_hisp,change_pop_other_non_hisp,change_pop_two_plus_non_hisp,pct_change_x2020_pop,pct_change_x2020_pop_hisp,pct_change_x2020_pop_white_non_hisp,pct_change_x2020_pop_black_non_hisp,pct_change_x2020_pop_aian_non_hisp,pct_change_x2020_pop_asian_non_hisp,pct_change_x2020_pop_nhpi_non_hisp,pct_change_x2020_pop_other_non_hisp,pct_change_x2020_pop_two_plus_non_hisp,x2010_pop_white_non_hisp_share,x2010_pop_black_non_hisp_share,x2010_pop_hisp_share,x2020_pop_white_non_hisp_share,x2020_pop_black_non_hisp_share,x2020_pop_hisp_share,x2020_majority_neighborhood_type,x2010_majority_neighborhood_type,majority_changed,color_pct_change_x2020_pop,color_pct_change_x2020_pop_hisp,color_pct_change_x2020_pop_white_non_hisp,color_pct_change_x2020_pop_black_non_hisp,color_pct_change_x2020_pop_aian_non_hisp,color_pct_change_x2020_pop_asian_non_hisp,color_pct_change_x2020_pop_nhpi_non_hisp,color_pct_change_x2020_pop_other_non_hisp,color_pct_change_x2020_pop_two_plus_non_hisp,viz_x2020_pop_white_non_hisp,viz_x2020_pop_black_non_hisp,viz_x2020_pop_hisp,viz_x2020_pop
Callaway-Garrison,0,callaway-garrison,0.17402219144517242,0.16526168053241175,0.3064403403494075,1813,18,25,1742,5,5,0,3,15,1607,45,39,1459,6,9,1,5,42,baltimore city,-206,27,14,-283,2,4,0,2,26,-11.4,152.6,56.1,-16.2,36.3,92.5,150.1,74.9,173.7,1,96,1,2,91,3,majority black,majority black,no,red,green,green,red,green,green,green,green,green,39,1459,45,1607
Cameron Village,0,cameron village,0.4360927383325616,0.46059240967262,0.5308317356602628,1068,17,114,908,4,7,0,1,17,985,18,105,809,1,11,0,3,39,baltimore city,-83,1,-9,-99,-3,4,-0,2,22,-7.8,5.3,-8.2,-10.9,-84,55.9,-50,118.4,133.6,11,85,2,11,82,2,majority black,majority black,no,red,green,red,red,red,green,red,green,green,105,809,18,985
Canton,0,canton,0.1768581116932749,0.1725457877693792,0.3938139008847423,9923,636,8302,456,35,318,7,16,154,10487,796,8246,459,30,489,1,47,420,baltimore city,564,160,-56,3,-5,172,-6,31,265,5.7,25.2,-0.7,0.7,-14.7,54,-87.6,196.7,171.7,84,5,6,79,4,8,majority white,majortiy white,yes,green,green,red,green,red,green,red,green,green,8246,459,796,10487
Canton Industrial Area,0,canton industrial area,0.24211189658081544,0.13360050476933374,1.101755466567613,4511,1058,2625,584,54,88,4,8,89,5434,2045,2336,655,25,160,1,27,187,baltimore city,923,987,-289,71,-30,72,-4,19,98,20.5,93.2,-11,12.1,-54.7,81.9,-88.3,246.9,109.5,58,13,23,43,12,38,majority minority,majortiy white,yes,green,green,red,green,red,green,red,green,green,2336,655,2045,5434
Care,0,care,0.11327394549163536,0.10981138816663343,0.21810226024430915,1125,97,272,700,10,30,1,1,14,1320,188,365,612,6,87,0,12,50,baltimore city,195,91,94,-88,-4,58,-1,11,36,17.3,94.4,34.5,-12.6,-44.1,193.9,-100,1081.8,250.9,24,62,9,28,46,14,majority minority,majority black,yes,green,green,green,red,red,green,red,green,green,365,612,188,1320
Carroll - Camden Industrial Area,0,carroll - camden industrial area,0.3343740756526092,0.3436083509834345,0.7290669944736449,2746,93,1048,1393,10,123,1,10,69,2577,164,760,1359,9,137,1,18,128,baltimore city,-170,71,-287,-34,-1,14,1,9,59,-6.2,75.9,-27.4,-2.5,-12.1,11.4,99.9,92,86,38,51,3,30,53,6,majority black,majority black,no,red,green,red,red,red,green,green,green,green,760,1359,164,2577
Carroll Park,0,carroll park,0.2826419340332842,0.30094090982511734,0.5123351503986707,1272,49,499,599,4,85,0,4,32,1119,62,315,583,1,86,0,8,64,baltimore city,-153,12,-184,-16,-3,1,-0,4,32,-12.1,25,-36.9,-2.6,-80.6,1.7,-100,110.4,101,39,47,4,28,52,6,majority black,majority minority,yes,red,green,red,red,red,green,red,green,green,315,583,62,1119
Carroll-South Hilton,0,carroll-south hilton,0.2577595955052406,0.27107754237614484,0.513576726187999,1921,43,486,1345,4,13,0,2,27,1638,122,317,1076,6,28,0,9,79,baltimore city,-283,79,-170,-269,3,15,0,7,52,-14.7,184.3,-34.9,-20,74.4,114.8,53.5,330.6,190.4,25,70,2,19,66,7,majority black,majority black,no,red,green,red,red,green,green,green,green,green,317,1076,122,1638
Carrollton Ridge,0,carrollton ridge,0.1811083328814772,0.16113291210699537,0.36365714960943596,3567,147,1047,2187,14,77,1,5,89,2382,203,460,1539,10,38,0,12,120,baltimore city,-1185,55,-587,-648,-4,-39,-0,7,31,-33.2,37.6,-56.1,-29.6,-28.4,-51.1,-50.7,158.8,34.9,29,61,4,19,65,9,majority black,majority black,no,red,green,red,red,red,red,red,green,green,460,1539,203,2382
Cedarcroft,0,cedarcroft,0.10343829976561239,0.10952768457490984,0.2305618184362007,588,16,474,64,1,20,0,1,11,589,27,442,70,1,21,0,3,26,baltimore city,1,11,-33,5,-1,1,-0,2,15,0.2,72.2,-6.9,7.9,-49.2,7.1,-33.3,129.3,131.1,81,11,3,75,12,5,majority white,majortiy white,yes,green,green,red,green,red,green,red,green,green,442,70,27,589
